time collected,id,sponsored,username,time,likes,comments,description
11-01-24 16:11:43,/p/C_d12FHy3l_/,not sponsored,benmillsclimbs,2024-09-03T19:12:55.000Z,"9,353",35,How to stick ANY sideways dyno | Day 15 of training to make finals at a climbing competition.
11-01-24 16:11:51,/p/DBtuUj5PsJu/,not sponsored,matilda_soderlund,2024-10-29T16:18:25.000Z,"4,374",23,"Knobs and nibbles on ‘Peace’ in Tuolumne Meadows, Yosemite 😍"
11-01-24 16:11:54,/p/DBTpUtXNeyb/,not sponsored,roxana_wienand,2024-10-19T13:18:01.000Z,"8,606",90,"Fun boulder with awesome, brand new @suprclimbing holds 🤩"
11-01-24 16:12:01,/p/DA3iQXhs68G/,not sponsored,adam.ondra,2024-10-08T15:18:34.000Z,"33,250",310,"INCREDIBLE grip, stick to death 👊"
11-01-24 16:12:08,Sponsored,thumbtack,no time,"696,191",56,You’ve got a partner in home projects. Thumbtack has everything you need to care for your home the way it deserves.,
11-01-24 16:12:12,/p/DBUBBOAND5h/,not sponsored,regine_storaa,2024-10-19T16:52:51.000Z,"13,329",46,"This method took just as many tries as the «easy» beta, so I have concluded that it must be equally challenging (at"
11-01-24 16:12:26,/p/DA821Z7Pvem/,not sponsored,afterhoursclimbing,2024-10-10T16:58:53.000Z,"4,644",31,I should not have tried to climb 😭 
11-01-24 16:12:31,/p/DBeUnonS08I/,not sponsored,yudai__ikeda,2024-10-23T16:46:27.000Z,"19,048",121,100% Bouldering🦸🏻‍♂️⚡️⚡️⚡️W
11-01-24 16:12:39,/p/DBW-683y9nN/,not sponsored,sashadigiulian,2024-10-20T20:22:55.000Z,220,no comments,Fall reset of the Treadwall with some @escapeclimbing holds means it’s time to train endurance to get ready for my next
11-01-24 16:12:39,Sponsored,shaktimats,no time,"6,375,080","4,305",Would you believe us if we said the answer to stress and tension is thousands of tiny spikes?,
11-01-24 16:12:44,/p/DBoS0w-RIFs/,not sponsored,reachclimbingphilly,2024-10-27T13:52:22.000Z,"31,192",27,The setters totally not staged authentic reaction to seeing NEW HOLDS!!!
11-01-24 16:12:50,/p/DAvoSCyO7EH/,not sponsored,newriverclimbing,2024-10-05T13:56:18.000Z,"1,452",56,What’s the correct way to tie the “Yosemite finish” to your figure 8 knot and why is this even a thing?
11-01-24 16:12:57,/p/C_-Z48myxYs/,not sponsored,mooho.k,2024-09-16T10:43:15.000Z,"10,820",47,쎄마넴! 🐯🖤 얏호!  #더클라임일산 @
11-01-24 16:13:05,/p/DBjcdfKuJOq/,not sponsored,connectiveclimbing,2024-10-25T16:28:59.000Z,"2,334",17,Shelby was struggling to stick the move on the start of this yellow boulder. Most people could easily keep their foot
11-01-24 16:13:11,Sponsored,thedoctorstrustedbrand,no time,"223,680",63,✂️🍔🍞 Trimming the Waist Has NEVER Been So Easy!,
11-01-24 16:13:17,/p/DBf_Z7fNK-p/,not sponsored,ste_mcclure,2024-10-24T08:16:35.000Z,972,30,Not long back I joined up as a Lattice Ambassador. Consistent training to come in winter as for now a Hectic route
11-01-24 16:13:22,/p/DBtUyqXucU-/,not sponsored,dyno.saurs,2024-10-29T12:34:35.000Z,"2,955",13,Which one are you?
11-01-24 16:13:28,Sponsored,warthunder,no time,"151,114",418,🎮 PLAY FOR FREE!,
